Num ordine;Data ordine;Nominativo;B2B;Categoria;Prodotto;Periodo consegna;MM consegna ordine;AA consegna ordine;GG consegna ordine;Prz unitario;Unità misura;Qta;Tot riga;Imponibile ordine;IVA;Spese spedizione e consegna;Tot ordine;Transazione;Data consegna ordine;Mod pag GG;Pagamento
2019-000770;28/09/2019;Privato-0171;Privato;Ortaggi;Patate;Settembre;9;2019;28; 19,80 € ;kg;13;257,4;3483,9;20%;1;4181,68;Immediata;28/09/2019;0;28/09/2019
2019-000770;10/06/2019;Privato-0317;Privato;Cereali;Miglio;Giugno;6;2019;10; 322,65 € ;t;10;3226,5;3483,9;20%;7;4187,68;Immediata;10/06/2019;0;10/06/2019
2019-000772;04/04/2019;Privato-0314;Privato;Spezie piante aromatiche;Rosmarino;Aprile;4;2019;6; 0,80 € ;Confezione;19;15,2;15,2;20%;0;18,24;Differita;06/04/2019;97;10/07/2019
2019-000774;01/10/2019;Privato-0222;Privato;Ortaggi;Patate;Settembre;9;2019;31; 19,80 € ;kg;12;237,6;237,6;20%;0;285,12;Immediata;01/10/2019;0;01/10/2019
2019-000775;05/01/2019;Privato-0669;Privato;Spezie piante aromatiche;Alloro;Annuale;1;2019;8; 1,36 € ;Confezione;9;12,24;12,24;20%;11;25,688;Differita;08/01/2019;30;04/02/2019
2019-000776;04/01/2019;Privato-0022;Privato;Altre piante;Piante d'arredo;Annuale;1;2019;11; 32,01 € ;Pezzo;2;64,02;64,02;20%;1;77,824;Differita;11/01/2019;79;24/03/2019
2019-000777;16/04/2019;Privato-0542;Privato;Frutta;Amarene;Maggio;5;2019;4; 1,18 € ;kg;2;2,36;542,55;20%;15;666,06;Differita;04/05/2019;92;17/07/2019
2019-000777;24/09/2019;Privato-0492;Privato;Ortaggi;Broccoli;Settembre;9;2019;27; 22,73 € ;kg;17;386,41;542,55;20%;54;705,06;Differita;27/09/2019;61;24/11/2019
2019-000777;22/03/2019;RagSoc-0112;RagSoc;Ortaggi;Lattuga;Aprile;4;2019;20; 13,98 € ;kg;11;153,78;542,55;20%;1;652,06;Differita;20/04/2019;59;20/05/2019
2019-000778;26/04/2019;RagSoc-0090;RagSoc;Frutta;Pesche;Maggio;5;2019;5; 4,76 € ;kg;7;33,32;1516,12;20%;2;1821,344;Differita;05/05/2019;83;18/07/2019
2019-000778;20/06/2019;RagSoc-0110;RagSoc;Cereali;Avena;Giugno;6;2019;21; 296,56 € ;t;5;1482,8;1516,12;20%;12;1831,344;Differita;21/06/2019;120;18/10/2019
2019-000779;06/09/2019;Privato-0462;Privato;Viti;Uva per vinificazione;Settembre;9;2019;25; 33,74 € ;q;9;303,66;303,66;20%;20;384,392;Differita;25/09/2019;3;09/09/2019
2019-000780;24/04/2019;Privato-0197;Privato;Ortaggi;Cetrioli;Aprile;4;2019;25; 12,08 € ;kg;1;12,08;21,43;20%;14;39,716;Differita;25/04/2019;9;03/05/2019
2019-000780;28/04/2019;Privato-0783;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;29; 0,55 € ;Confezione;17;9,35;21,43;20%;15;40,716;Differita;29/04/2019;14;12/05/2019
2019-000782;17/08/2019;Privato-0515;Privato;Frutta;Melograno;Agosto;8;2019;20; 3,28 € ;kg;12;39,36;39,36;20%;18;65,232;Differita;20/08/2019;5;22/08/2019
2019-000784;07/08/2019;RagSoc-0046;RagSoc;Frutta in guscio;Semi girasole;Agosto;8;2019;9; 3,98 € ;kg;13;51,74;51,74;20%;10;72,088;Differita;09/08/2019;34;10/09/2019
2019-000786;03/09/2019;Privato-0637;Privato;Cereali;Farro;Settembre;9;2019;7; 318,14 € ;t;3;954,42;954,42;20%;5;1150,304;Differita;07/09/2019;93;05/12/2019
2019-000789;21/02/2019;RagSoc-0023;RagSoc;Spezie piante aromatiche;Salvia;Aprile;4;2019;21; 1,14 € ;Confezione;4;4,56;129,85;20%;1;156,82;Differita;21/04/2019;79;11/05/2019
2019-000789;02/08/2019;RagSoc-0035;RagSoc;Frutta in guscio;Noci;Agosto;8;2019;4; 7,37 € ;kg;17;125,29;129,85;20%;12;167,82;Differita;04/08/2019;104;14/11/2019
2019-000790;20/04/2019;Privato-0785;Privato;Ortaggi;Meloni;Aprile;4;2019;29; 1,50 € ;kg;11;16,5;890,06;20%;3;1071,072;Differita;29/04/2019;108;06/08/2019
2019-000790;16/01/2019;Privato-0214;Privato;Erbe officinali;Erbe diverse;Annuale;1;2019;20; 62,14 € ;kg;14;869,96;890,06;20%;42;1110,072;Differita;20/01/2019;104;30/04/2019
2019-000790;05/08/2019;RagSoc-0047;RagSoc;Frutta;Mele cotogne;Agosto;8;2019;11; 0,90 € ;kg;4;3,6;890,06;20%;2;1070,072;Differita;11/08/2019;42;16/09/2019
2019-000791;27/04/2019;RagSoc-0093;RagSoc;Frutti di bosco;Ribes;Maggio;5;2019;18; 1,52 € ;kg;5;7,6;59,34;20%;0;71,208;Differita;18/05/2019;62;28/06/2019
2019-000791;01/08/2019;Privato-0367;Privato;Frutta in guscio;Semi girasole;Agosto;8;2019;5; 3,98 € ;kg;13;51,74;59,34;20%;0;71,208;Differita;05/08/2019;62;02/10/2019
2019-000792;13/05/2019;Privato-0194;Privato;Frutta;Amarene;Maggio;5;2019;19; 1,18 € ;kg;12;14,16;36,6;20%;25;68,92;Differita;19/05/2019;111;01/09/2019
2019-000792;05/04/2019;Privato-0449;Privato;Ortaggi;Melanzane;Aprile;4;2019;13; 11,22 € ;kg;2;22,44;36,6;20%;3;46,92;Differita;13/04/2019;112;26/07/2019
2019-000794;08/05/2019;Privato-0778;Privato;Frutti di bosco;Ribes;Maggio;5;2019;9; 1,52 € ;kg;4;6,08;8,78;20%;12;22,536;Differita;09/05/2019;53;30/06/2019
2019-000794;10/08/2019;Privato-0015;Privato;Frutta;Mele cotogne;Agosto;8;2019;12; 0,90 € ;kg;3;2,7;8,78;20%;13;23,536;Differita;12/08/2019;31;10/09/2019
2019-000795;02/02/2019;RagSoc-0039;RagSoc;Ortaggi;Zucche;Aprile;4;2019;3; 17,06 € ;kg;16;272,96;407,06;20%;20;508,472;Differita;03/04/2019;70;13/04/2019
2019-000795;23/07/2019;RagSoc-0028;RagSoc;Frutta in guscio;Mandorle;Agosto;8;2019;28; 7,45 € ;kg;18;134,1;407,06;20%;24;512,472;Differita;28/08/2019;79;10/10/2019
2019-000799;03/05/2019;RagSoc-0106;RagSoc;Cereali;Sorgo;Giugno;6;2019;2; 329,91 € ;t;11;3629,01;3629,01;20%;11;4365,812;Differita;02/06/2019;43;15/06/2019
2019-000800;30/03/2019;Privato-0758;Privato;Legumi;Fave;Aprile;4;2019;5; 117,01 € ;q;20;2340,2;2340,2;20%;0;2808,24;Differita;05/04/2019;52;21/05/2019
2019-000803;09/04/2019;Privato-0693;Privato;Legumi;Piselli;Aprile;4;2019;20; 64,88 € ;q;13;843,44;1031,99;20%;8;1246,388;Differita;20/04/2019;31;10/05/2019
2019-000803;28/01/2019;Privato-0512;Privato;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;30; 37,71 € ;Pezzo;5;188,55;1031,99;20%;15;1253,388;Differita;30/01/2019;52;21/03/2019
2019-000807;15/08/2019;Privato-0375;Privato;Frutta in guscio;Castagne;Agosto;8;2019;19; 2,87 € ;kg;14;40,18;40,18;20%;33;81,216;Differita;19/08/2019;78;01/11/2019
2019-000808;04/07/2019;RagSoc-0102;RagSoc;Frutta in guscio;Mandorle;Agosto;8;2019;1; 7,45 € ;kg;9;67,05;67,05;20%;10;90,46;Differita;01/08/2019;96;08/10/2019
2019-000809;21/09/2019;Privato-0595;Privato;Ortaggi;Carciofi;Settembre;9;2019;21; 2,34 € ;kg;15;35,1;35,1;20%;4;46,12;Immediata;21/09/2019;0;21/09/2019
2019-000811;12/01/2019;Privato-0173;Privato;Altre piante;Piante d'arredo;Annuale;1;2019;12; 32,01 € ;Pezzo;4;128,04;128,04;20%;22;175,648;Immediata;12/01/2019;0;12/01/2019
2019-000814;28/05/2019;Privato-0572;Privato;Frutta;Prugne;Maggio;5;2019;29; 4,26 € ;kg;12;51,12;51,12;20%;38;99,344;Differita;29/05/2019;62;29/07/2019
2019-000815;25/09/2019;Privato-0234;Privato;Ortaggi;Finocchi;Settembre;9;2019;25; 14,06 € ;kg;4;56,24;64,1;20%;8;84,92;Immediata;25/09/2019;0;25/09/2019
2019-000815;21/03/2019;RagSoc-0012;RagSoc;Spezie piante aromatiche;Prezzemolo;Aprile;4;2019;3; 1,31 € ;Confezione;6;7,86;64,1;20%;2;78,92;Differita;03/04/2019;11;01/04/2019
2019-000817;05/05/2019;Privato-0636;Privato;Frutta;Prugne;Maggio;5;2019;9; 4,26 € ;kg;20;85,2;85,2;20%;0;102,24;Differita;09/05/2019;65;09/07/2019
2019-000820;21/06/2019;RagSoc-0115;RagSoc;Cereali;Grano duro;Giugno;6;2019;28; 300,95 € ;t;18;5417,1;5442,2;20%;9;6539,64;Differita;28/06/2019;109;08/10/2019
2019-000820;16/04/2019;Privato-0119;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;16; 0,55 € ;Confezione;18;9,9;5442,2;20%;0;6530,64;Immediata;16/04/2019;0;16/04/2019
2019-000820;07/05/2019;Privato-0089;Privato;Frutta;Mele;Maggio;5;2019;9; 0,95 € ;kg;16;15,2;5442,2;20%;28;6558,64;Differita;09/05/2019;70;16/07/2019
2019-000821;30/03/2019;RagSoc-0053;RagSoc;Frutta;Albicocche;Maggio;5;2019;11; 4,38 € ;kg;6;26,28;26,28;20%;44;75,536;Differita;11/05/2019;103;11/07/2019
2019-000824;09/07/2019;RagSoc-0085;RagSoc;Frutta in guscio;Noci;Agosto;8;2019;11; 7,37 € ;kg;16;117,92;117,92;20%;14;155,504;Differita;11/08/2019;43;21/08/2019
2019-000825;24/03/2019;Privato-0454;Privato;Ortaggi;Zucche;Aprile;4;2019;6; 17,06 € ;kg;3;51,18;51,18;20%;1;62,416;Differita;06/04/2019;55;18/05/2019
2019-000828;01/10/2019;Privato-0567;Privato;Cereali;Farro;Settembre;9;2019;31; 318,14 € ;t;15;4772,1;4772,1;20%;13;5739,52;Immediata;01/10/2019;0;01/10/2019
2019-000829;03/04/2019;Privato-0510;Privato;Legumi;Lenticchie;Aprile;4;2019;15; 113,58 € ;q;6;681,48;681,48;20%;1;818,776;Differita;15/04/2019;86;28/06/2019
2019-000831;10/08/2019;Privato-0200;Privato;Frutta in guscio;Anacardi;Agosto;8;2019;10; 7,86 € ;kg;17;133,62;133,62;20%;2;162,344;Immediata;10/08/2019;0;10/08/2019
2019-000834;03/09/2019;Privato-0669;Privato;Ortaggi;Finocchi;Settembre;9;2019;15; 14,06 € ;kg;20;281,2;281,2;20%;1;338,44;Differita;15/09/2019;47;20/10/2019
2019-000837;24/06/2019;RagSoc-0071;RagSoc;Cereali;Grano tenero;Giugno;6;2019;29; 317,59 € ;t;2;635,18;720,86;20%;12;877,032;Differita;29/06/2019;85;17/09/2019
2019-000837;04/04/2019;Privato-0460;Privato;Ortaggi;Spinaci;Aprile;4;2019;4; 5,04 € ;kg;17;85,68;720,86;20%;7;872,032;Immediata;04/04/2019;0;04/04/2019
2019-000840;30/09/2019;Privato-0609;Privato;Ulivi;Olive per frantoio;Settembre;9;2019;31; 105,48 € ;q;7;738,3727273;1069,892727;20%;1;1284,871273;Differita;01/10/2019;82;21/12/2019
2019-000840;30/03/2019;Privato-0007;Privato;Ortaggi;Angurie;Aprile;4;2019;1; 20,72 € ;kg;16;331,52;1069,892727;20%;3;1286,871273;Differita;01/04/2019;116;24/07/2019
2019-000841;02/04/2019;Privato-0273;Privato;Ortaggi;Carote;Aprile;4;2019;8; 8,25 € ;kg;18;148,5;151,62;20%;2;183,944;Differita;08/04/2019;46;18/05/2019
2019-000841;13/04/2019;Privato-0771;Privato;Spezie piante aromatiche;Origano;Aprile;4;2019;15; 1,04 € ;Confezione;3;3,12;151,62;20%;7;188,944;Differita;15/04/2019;94;16/07/2019
2019-000843;08/08/2019;Privato-0040;Privato;Frutta in guscio;Semi girasole;Agosto;8;2019;19; 3,98 € ;kg;18;71,64;521,24;20%;9;634,488;Differita;19/08/2019;99;15/11/2019
2019-000843;18/08/2019;Privato-0103;Privato;Viti;Uva da tavola;Settembre;9;2019;1; 22,48 € ;q;20;449,6;521,24;20%;11;636,488;Differita;01/09/2019;46;03/10/2019
2019-000844;09/04/2019;Privato-0583;Privato;Ortaggi;Lattuga;Aprile;4;2019;17; 13,98 € ;kg;17;237,66;555,25;20%;34;700,3;Differita;17/04/2019;92;10/07/2019
2019-000844;17/06/2019;Privato-0647;Privato;Cereali;Grano tenero;Giugno;6;2019;17; 317,59 € ;t;1;317,59;555,25;20%;39;705,3;Immediata;17/06/2019;0;17/06/2019
2019-000845;10/05/2019;RagSoc-0005;RagSoc;Frutta;Amarene;Maggio;5;2019;28; 1,18 € ;kg;17;20,06;20,06;20%;4;28,072;Differita;28/05/2019;16;26/05/2019
2019-000846;07/01/2019;Privato-0320;Privato;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;8; 37,71 € ;Pezzo;19;716,49;716,49;20%;14;873,788;Differita;08/01/2019;87;04/04/2019
2019-000850;14/06/2019;Privato-0730;Privato;Cereali;Segale;Giugno;6;2019;20; 334,75 € ;t;20;6695;6695;20%;0;8034;Differita;20/06/2019;62;15/08/2019
2019-000854;12/08/2019;Privato-0637;Privato;Frutta in guscio;Anacardi;Agosto;8;2019;16; 7,86 € ;kg;12;94,32;94,32;20%;0;113,184;Differita;16/08/2019;24;05/09/2019
2019-000855;03/04/2019;Privato-0226;Privato;Ortaggi;Spinaci;Aprile;4;2019;3; 5,04 € ;kg;4;20,16;585,81;20%;1;703,972;Immediata;03/04/2019;0;03/04/2019
2019-000855;20/12/2019;RagSoc-0027;RagSoc;Altre piante;Alberi e fiori da giardino;Annuale;1;2020;16; 37,71 € ;Pezzo;15;565,65;585,81;20%;0;702,972;Differita;16/01/2020;117;15/04/2020
2019-000856;31/03/2019;Privato-0480;Privato;Ortaggi;Pomodori;Aprile;4;2019;1; 2,32 € ;kg;3;6,96;6,96;20%;7;15,352;Differita;01/04/2019;32;02/05/2019
2019-000857;03/06/2019;Privato-0761;Privato;Cereali;Grano duro;Giugno;6;2019;3; 300,95 € ;t;9;2708,55;8116,93;20%;35;9775,316;Immediata;03/06/2019;0;03/06/2019
2019-000857;02/09/2019;Privato-0795;Privato;Cereali;Farro;Settembre;9;2019;10; 318,14 € ;t;17;5408,38;8116,93;20%;21;9761,316;Differita;10/09/2019;95;06/12/2019
2019-000860;16/03/2019;RagSoc-0082;RagSoc;Spezie piante aromatiche;Basilico;Aprile;4;2019;2; 1,48 € ;Confezione;20;29,6;3039,1;20%;3;3649,92;Differita;02/04/2019;34;19/04/2019
2019-000860;15/06/2019;Privato-0618;Privato;Cereali;Grano duro;Giugno;6;2019;21; 300,95 € ;t;10;3009,5;3039,1;20%;15;3661,92;Differita;21/06/2019;115;08/10/2019
2019-000864;21/08/2019;Privato-0648;Privato;Ulivi;Olive da tavola;Settembre;9;2019;2; 94,99 € ;q;15;1424,863636;1424,863636;20%;4;1713,836364;Differita;02/09/2019;107;06/12/2019
2019-000867;15/05/2019;Privato-0382;Privato;Cereali;Grano duro;Giugno;6;2019;2; 300,95 € ;t;5;1504,75;1847,03;20%;28;2244,436;Differita;02/06/2019;29;13/06/2019
2019-000867;28/03/2019;Privato-0186;Privato;Ortaggi;Zucchine;Aprile;4;2019;2; 22,04 € ;kg;13;286,52;1847,03;20%;7;2223,436;Differita;02/04/2019;119;25/07/2019
2019-000867;27/07/2019;Privato-0733;Privato;Frutta;Melograno;Agosto;8;2019;4; 3,28 € ;kg;17;55,76;1847,03;20%;39;2255,436;Differita;04/08/2019;115;19/11/2019
2019-000868;26/03/2019;Privato-0583;Privato;Ortaggi;Meloni;Aprile;4;2019;11; 1,50 € ;kg;17;25,5;25,5;20%;8;38,6;Differita;11/04/2019;97;01/07/2019
2019-000869;27/08/2019;Privato-0175;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;27; 3,61 € ;kg;10;36,1;78,94;20%;16;110,728;Immediata;27/08/2019;0;27/08/2019
2019-000869;18/03/2019;RagSoc-0099;RagSoc;Frutta;Pesche;Maggio;5;2019;10; 4,76 € ;kg;9;42,84;78,94;20%;0;94,728;Differita;10/05/2019;23;10/04/2019
2019-000871;16/05/2019;Privato-0150;Privato;Frutta;Mele;Maggio;5;2019;16; 0,95 € ;kg;8;7,6;7,6;20%;3;12,12;Immediata;16/05/2019;0;16/05/2019
2019-000872;09/04/2019;RagSoc-0020;RagSoc;Frutti di bosco;Lamponi;Maggio;5;2019;19; 4,72 € ;kg;12;56,64;76,54;20%;6;97,848;Differita;19/05/2019;60;08/06/2019
2019-000872;18/08/2019;RagSoc-0018;RagSoc;Frutta in guscio;Semi girasole;Agosto;8;2019;20; 3,98 € ;kg;5;19,9;76,54;20%;1;92,848;Differita;20/08/2019;64;21/10/2019
2019-000874;03/04/2019;Privato-0133;Privato;Legumi;Lenticchie;Aprile;4;2019;4; 113,58 € ;q;19;2158,02;2287,78;20%;4;2749,336;Differita;04/04/2019;60;02/06/2019
2019-000874;15/04/2019;Privato-0202;Privato;Legumi;Piselli;Aprile;4;2019;17; 64,88 € ;q;2;129,76;2287,78;20%;52;2797,336;Differita;17/04/2019;77;01/07/2019
2019-000875;31/03/2019;Privato-0543;Privato;Ortaggi;Zucche;Aprile;4;2019;24; 17,06 € ;kg;10;170,6;170,6;20%;6;210,72;Differita;24/04/2019;78;17/06/2019
2019-000876;16/04/2019;Privato-0225;Privato;Ortaggi;Fagiolini;Aprile;4;2019;19; 10,16 € ;kg;12;121,92;121,92;20%;23;169,304;Differita;19/04/2019;98;23/07/2019
2019-000879;14/05/2019;Privato-0663;Privato;Frutti di bosco;Mirtilli;Maggio;5;2019;20; 5,70 € ;kg;18;102,6;210,9;20%;4;257,08;Differita;20/05/2019;37;20/06/2019
2019-000879;08/05/2019;Privato-0695;Privato;Frutti di bosco;Mirtilli;Maggio;5;2019;10; 5,70 € ;kg;19;108,3;210,9;20%;7;260,08;Differita;10/05/2019;1;09/05/2019
2019-000880;22/03/2019;RagSoc-0054;RagSoc;Legumi;Fave;Aprile;4;2019;3; 117,01 € ;q;2;234,02;242,82;20%;58;349,384;Differita;03/04/2019;33;24/04/2019
2019-000880;09/04/2019;Privato-0580;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;9; 0,55 € ;Confezione;16;8,8;242,82;20%;3;294,384;Immediata;09/04/2019;0;09/04/2019
2019-000883;26/09/2019;Privato-0295;Privato;Ortaggi;Cavolfiori;Settembre;9;2019;26; 23,94 € ;kg;10;239,4;295,2;20%;3;357,24;Immediata;26/09/2019;0;26/09/2019
2019-000883;22/04/2019;Privato-0388;Privato;Spezie piante aromatiche;Origano;Aprile;4;2019;22; 1,04 € ;Confezione;12;12,48;295,2;20%;0;354,24;Immediata;22/04/2019;0;22/04/2019
2019-000883;13/08/2019;Privato-0256;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;25; 3,61 € ;kg;6;21,66;295,2;20%;0;354,24;Differita;25/08/2019;94;15/11/2019
2019-000883;10/08/2019;Privato-0642;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;10; 3,61 € ;kg;6;21,66;295,2;20%;6;360,24;Immediata;10/08/2019;0;10/08/2019
2019-000887;02/08/2019;Privato-0371;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;4; 3,61 € ;kg;17;61,37;61,37;20%;0;73,644;Differita;04/08/2019;120;30/11/2019
2019-000889;10/01/2019;RagSoc-0114;RagSoc;Spezie piante aromatiche;Alloro;Annuale;1;2019;25; 1,36 € ;Confezione;11;14,96;16,61;20%;8;27,932;Differita;25/01/2019;99;19/04/2019
2019-000889;01/04/2019;Privato-0597;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;6; 0,55 € ;Confezione;3;1,65;16,61;20%;0;19,932;Differita;06/04/2019;66;06/06/2019
2019-000891;25/03/2019;Privato-0342;Privato;Spezie piante aromatiche;Origano;Aprile;4;2019;1; 1,04 € ;Confezione;3;3,12;3,12;20%;4;7,744;Differita;01/04/2019;82;15/06/2019
2019-000892;11/05/2019;Privato-0584;Privato;Frutta;Pesche;Maggio;5;2019;11; 4,76 € ;kg;3;14,28;14,28;20%;7;24,136;Immediata;11/05/2019;0;11/05/2019
2019-000893;08/08/2019;Privato-0288;Privato;Frutta in guscio;Nocciole;Agosto;8;2019;16; 4,39 € ;kg;16;70,24;70,24;20%;0;84,288;Differita;16/08/2019;69;16/10/2019
2019-000894;26/06/2019;Privato-0049;Privato;Cereali;Miglio;Giugno;6;2019;27; 322,65 € ;t;14;4517,1;6226,936364;20%;0;7472,323636;Differita;27/06/2019;76;10/09/2019
2019-000894;30/08/2019;Privato-0195;Privato;Ulivi;Olive da tavola;Settembre;9;2019;4; 94,99 € ;q;18;1709,836364;6226,936364;20%;13;7485,323636;Differita;04/09/2019;92;30/11/2019
2019-000895;21/08/2019;Privato-0799;Privato;Frutta in guscio;Semi girasole;Agosto;8;2019;21; 3,98 € ;kg;11;43,78;43,78;20%;2;54,536;Immediata;21/08/2019;0;21/08/2019
2019-000896;14/09/2019;Privato-0507;Privato;Ortaggi;Cavolfiori;Settembre;9;2019;31; 23,94 € ;kg;18;430,92;430,92;20%;9;526,104;Differita;01/10/2019;46;30/10/2019
2019-000900;19/05/2019;Privato-0641;Privato;Frutta;Mele;Maggio;5;2019;19; 0,95 € ;kg;17;16,15;6146,5;20%;12;7387,8;Immediata;19/05/2019;0;19/05/2019
2019-000900;30/06/2019;Privato-0095;Privato;Cereali;Miglio;Giugno;6;2019;30; 322,65 € ;t;19;6130,35;6146,5;20%;2;7377,8;Immediata;30/06/2019;0;30/06/2019
2019-000902;22/05/2019;Privato-0723;Privato;Frutta;Pesche;Maggio;5;2019;22; 4,76 € ;kg;14;66,64;93,74;20%;24;136,488;Immediata;22/05/2019;0;22/05/2019
2019-000902;26/12/2019;RagSoc-0049;RagSoc;Spezie piante aromatiche;Alloro;Annuale;1;2020;24; 1,36 € ;Confezione;4;5,44;93,74;20%;43;155,488;Differita;24/01/2020;40;04/02/2020
2019-000902;05/08/2019;Privato-0337;Privato;Frutta in guscio;Pistacchi;Agosto;8;2019;5; 3,61 € ;kg;6;21,66;93,74;20%;2;114,488;Immediata;05/08/2019;0;05/08/2019
2019-000905;07/05/2019;Privato-0179;Privato;Frutti di bosco;Lamponi;Maggio;5;2019;7; 4,72 € ;kg;2;9,44;9,44;20%;7;18,328;Immediata;07/05/2019;0;07/05/2019
2019-000906;05/09/2019;Privato-0652;Privato;Ortaggi;Carciofi;Settembre;9;2019;5; 2,34 € ;kg;7;16,38;253,98;20%;4;308,776;Immediata;05/09/2019;0;05/09/2019
2019-000906;26/07/2019;RagSoc-0092;RagSoc;Ortaggi;Patate;Settembre;9;2019;6; 19,80 € ;kg;12;237,6;253,98;20%;34;338,776;Differita;06/09/2019;30;25/08/2019
2019-000908;24/05/2019;Privato-0613;Privato;Frutta;Fragole;Maggio;5;2019;26; 4,94 € ;kg;11;54,34;54,34;20%;9;74,208;Differita;26/05/2019;106;07/09/2019
2019-000909;25/03/2019;RagSoc-0077;RagSoc;Ortaggi;Fagiolini;Aprile;4;2019;18; 10,16 € ;kg;15;152,4;152,4;20%;12;194,88;Differita;18/04/2019;30;24/04/2019
2019-000911;08/04/2019;Privato-0048;Privato;Legumi;Lenticchie;Aprile;4;2019;8; 113,58 € ;q;9;1022,22;1046,92;20%;1;1257,304;Immediata;08/04/2019;0;08/04/2019
2019-000911;17/05/2019;Privato-0655;Privato;Frutta;Fragole;Maggio;5;2019;17; 4,94 € ;kg;5;24,7;1046,92;20%;19;1275,304;Immediata;17/05/2019;0;17/05/2019
2019-000913;31/05/2019;Privato-0325;Privato;Cereali;Miglio;Giugno;6;2019;1; 322,65 € ;t;1;322,65;1102,91;20%;2;1325,492;Differita;01/06/2019;64;03/08/2019
2019-000913;23/04/2019;Privato-0513;Privato;Legumi;Fagioli;Aprile;4;2019;29; 60,02 € ;q;13;780,26;1102,91;20%;6;1329,492;Differita;29/04/2019;67;29/06/2019
2019-000915;02/05/2019;Privato-0062;Privato;Frutta;Albicocche;Maggio;5;2019;6; 4,38 € ;kg;18;78,84;78,84;20%;0;94,608;Differita;06/05/2019;90;31/07/2019
2019-000918;14/04/2019;Privato-0363;Privato;Legumi;Piselli;Aprile;4;2019;15; 64,88 € ;q;11;713,68;2820,33;20%;10;3394,396;Differita;15/04/2019;80;03/07/2019
2019-000918;06/06/2019;Privato-0281;Privato;Cereali;Grano duro;Giugno;6;2019;7; 300,95 € ;t;7;2106,65;2820,33;20%;9;3393,396;Differita;07/06/2019;40;16/07/2019
2019-000921;05/04/2019;Privato-0436;Privato;Ortaggi;Fagiolini;Aprile;4;2019;11; 10,16 € ;kg;7;71,12;899;20%;14;1092,8;Differita;11/04/2019;67;11/06/2019
2019-000921;03/11/2019;RagSoc-0053;RagSoc;Altre piante;Piante per l'industria;Annuale;1;2020;1; 37,73 € ;Pezzo;3;113,19;899;20%;9;1087,8;Differita;01/01/2020;31;04/12/2019
2019-000921;06/04/2019;Privato-0180;Privato;Legumi;Ceci;Aprile;4;2019;25; 98,73 € ;q;7;691,11;899;20%;8;1086,8;Differita;25/04/2019;6;12/04/2019
2019-000921;08/02/2019;RagSoc-0017;RagSoc;Spezie piante aromatiche;Prezzemolo;Aprile;4;2019;3; 1,31 € ;Confezione;18;23,58;899;20%;2;1080,8;Differita;03/04/2019;104;23/05/2019
2019-000922;06/04/2019;Privato-0268;Privato;Spezie piante aromatiche;Menta;Aprile;4;2019;14; 0,55 € ;Confezione;17;9,35;9,35;20%;25;36,22;Differita;14/04/2019;33;09/05/2019
2019-000926;13/07/2019;RagSoc-0035;RagSoc;Ortaggi;Cavolfiori;Settembre;9;2019;2; 23,94 € ;kg;7;167,58;167,58;20%;4;205,096;Differita;02/09/2019;64;15/09/2019
2019-000929;17/04/2019;RagSoc-0013;RagSoc;Cereali;Avena;Giugno;6;2019;4; 296,56 € ;t;13;3855,28;4106,92;20%;32;4960,304;Differita;04/06/2019;32;19/05/2019
2019-000929;29/03/2019;Privato-0691;Privato;Ortaggi;Lattuga;Aprile;4;2019;1; 13,98 € ;kg;18;251,64;4106,92;20%;1;4929,304;Differita;01/04/2019;15;13/04/2019
2019-000930;26/02/2019;RagSoc-0055;RagSoc;Legumi;Fave;Aprile;4;2019;8; 117,01 € ;q;18;2106,18;2106,18;20%;1;2528,416;Differita;08/04/2019;17;15/03/2019
2019-000931;13/07/2019;RagSoc-0056;RagSoc;Frutta;Pere;Agosto;8;2019;25; 2,82 € ;kg;18;50,76;50,76;20%;3;63,912;Differita;25/08/2019;74;25/09/2019
2019-000932;19/09/2019;Privato-0759;Privato;Ortaggi;Patate;Settembre;9;2019;25; 19,80 € ;kg;10;198;198;20%;21;258,6;Differita;25/09/2019;65;23/11/2019
2019-000934;14/05/2019;Privato-0011;Privato;Frutti di bosco;Lamponi;Maggio;5;2019;24; 4,72 € ;kg;10;47,2;322,21;20%;10;396,652;Differita;24/05/2019;81;03/08/2019
2019-000934;03/07/2019;RagSoc-0053;RagSoc;Frutta in guscio;Anacardi;Agosto;8;2019;12; 7,86 € ;kg;11;86,46;322,21;20%;8;394,652;Differita;12/08/2019;22;25/07/2019
2019-000934;10/01/2019;Privato-0687;Privato;Altre piante;Alberi e fiori da giardino;Annuale;1;2019;10; 37,71 € ;Pezzo;5;188,55;322,21;20%;7;393,652;Immediata;10/01/2019;0;10/01/2019
